"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 08:12:34 UTC 2022","Sun Sep 04 08:12:35 UTC 2022","557","","test_20","","","","test_CheckPSUStatus[testbed]",""
"passed","Sun Sep 04 08:12:34 UTC 2022","Sun Sep 04 08:12:34 UTC 2022","487","","test_19","","","","test_CheckPSUState[testbed]",""
