"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 08:10:25 UTC 2022","Sun Sep 04 08:10:25 UTC 2022","495","","test_20","","","","test_CheckPSUStatus[testbed]",""
"passed","Sun Sep 04 08:10:24 UTC 2022","Sun Sep 04 08:10:25 UTC 2022","569","","test_19","","","","test_CheckPSUState[testbed]",""
