"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 04 08:14:02 UTC 2022","Sun Sep 04 08:14:03 UTC 2022","647","","test_19","","","","test_CheckPSUState[testbed]",""
"passed","Sun Sep 04 08:14:03 UTC 2022","Sun Sep 04 08:14:03 UTC 2022","489","","test_20","","","","test_CheckPSUStatus[testbed]",""
